"GOTermMatch","Term","Ontology","GOId","TermFromMSigDB"
"1433proteinbinding","14-3-3 protein binding","MF","GO:0071889","GO_14_3_3_PROTEIN_BINDING"
"1phosphatidylinositol3kinaseactivity","1-phosphatidylinositol-3-kinase activity","MF","GO:0016303","GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY"
"1phosphatidylinositolbinding","1-phosphatidylinositol binding","MF","GO:0005545","GO_1_PHOSPHATIDYLINOSITOL_BINDING"
"2iron2sulfurclusterbinding","2 iron, 2 sulfur cluster binding","MF","GO:0051537","GO_2_IRON_2_SULFUR_CLUSTER_BINDING"
"2oxoglutaratemetabolicprocess","2-oxoglutarate metabolic process","BP","GO:0006103","GO_2_OXOGLUTARATE_METABOLIC_PROCESS"
"35cyclicampphosphodiesteraseactivity","3',5'-cyclic-AMP phosphodiesterase activity","MF","GO:0004115","GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY"
"35cyclicgmpphosphodiesteraseactivity","3',5'-cyclic-GMP phosphodiesterase activity","MF","GO:0047555","GO_3_5_CYCLIC_GMP_PHOSPHODIESTERASE_ACTIVITY"
"35dnahelicaseactivity","3'-5' DNA helicase activity","MF","GO:0043138","GO_3_5_DNA_HELICASE_ACTIVITY"
"35exonucleaseactivity","3'-5' exonuclease activity","MF","GO:0008408","GO_3_5_EXONUCLEASE_ACTIVITY"
"3utrmediatedmrnastabilization","3'-UTR-mediated mRNA stabilization","BP","GO:0070935","GO_3_UTR_MEDIATED_MRNA_STABILIZATION"
"4hydroxyprolinemetabolicprocess","4-hydroxyproline metabolic process","BP","GO:0019471","GO_4_HYDROXYPROLINE_METABOLIC_PROCESS"
"4iron4sulfurclusterbinding","4 iron, 4 sulfur cluster binding","MF","GO:0051539","GO_4_IRON_4_SULFUR_CLUSTER_BINDING"
"53exonucleaseactivity","5'-3' exonuclease activity","MF","GO:0008409","GO_5_3_EXONUCLEASE_ACTIVITY"
"7methylguanosinernacapping","7-methylguanosine RNA capping","BP","GO:0009452","GO_7_METHYLGUANOSINE_RNA_CAPPING"
"90spreribosome","90S preribosome","CC","GO:0030686","GO_90S_PRERIBOSOME"
"aband","A band","CC","GO:0031672","GO_A_BAND"
"acetylcholinebinding","acetylcholine binding","MF","GO:0042166","GO_ACETYLCHOLINE_BINDING"
"acetylcholinegatedchannelcomplex","acetylcholine-gated channel complex","CC","GO:0005892","GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX"
"acetylcholinereceptoractivity","acetylcholine receptor activity","MF","GO:0015464","GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY"
"acetylcholinereceptorsignalingpathway","acetylcholine receptor signaling pathway","BP","GO:0095500","GO_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY"
"acetylcoabiosyntheticprocess","acetyl-CoA biosynthetic process","BP","GO:0006085","GO_ACETYL_COA_BIOSYNTHETIC_PROCESS"
"acetylcoametabolicprocess","acetyl-CoA metabolic process","BP","GO:0006084","GO_ACETYL_COA_METABOLIC_PROCESS"
"acetylgalactosaminyltransferaseactivity","acetylgalactosaminyltransferase activity","MF","GO:0008376","GO_ACETYLGALACTOSAMINYLTRANSFERASE_ACTIVITY"
"acetylglucosaminyltransferaseactivity","acetylglucosaminyltransferase activity","MF","GO:0008375","GO_ACETYLGLUCOSAMINYLTRANSFERASE_ACTIVITY"
"acetyltransferaseactivity","acetyltransferase activity","MF","GO:0016407","GO_ACETYLTRANSFERASE_ACTIVITY"
"acetyltransferasecomplex","acetyltransferase complex","CC","GO:1902493","GO_ACETYLTRANSFERASE_COMPLEX"
"acidaminoacidligaseactivity","acid-amino acid ligase activity","MF","GO:0016881","GO_ACID_AMINO_ACID_LIGASE_ACTIVITY"
"acidicaminoacidtransmembranetransporteractivity","acidic amino acid transmembrane transporter activity","MF","GO:0015172","GO_ACIDIC_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY"
"acidicaminoacidtransport","acidic amino acid transport","BP","GO:0015800","GO_ACIDIC_AMINO_ACID_TRANSPORT"
"acidphosphataseactivity","acid phosphatase activity","MF","GO:0003993","GO_ACID_PHOSPHATASE_ACTIVITY"
"acidsecretion","acid secretion","BP","GO:0046717","GO_ACID_SECRETION"
"acidthiolligaseactivity","acid-thiol ligase activity","MF","GO:0016878","GO_ACID_THIOL_LIGASE_ACTIVITY"
"acrosomalmembrane","acrosomal membrane","CC","GO:0002080","GO_ACROSOMAL_MEMBRANE"
"acrosomalvesicle","acrosomal vesicle","CC","GO:0001669","GO_ACROSOMAL_VESICLE"
"acrosomeassembly","acrosome assembly","BP","GO:0001675","GO_ACROSOME_ASSEMBLY"
"acrosomereaction","acrosome reaction","BP","GO:0007340","GO_ACROSOME_REACTION"
"actinbasedcellprojection","actin-based cell projection","CC","GO:0098858","GO_ACTIN_BASED_CELL_PROJECTION"
"actinbinding","actin binding","MF","GO:0003779","GO_ACTIN_BINDING"
"actincytoskeleton","actin cytoskeleton","CC","GO:0015629","GO_ACTIN_CYTOSKELETON"
"actincytoskeletonreorganization","actin cytoskeleton reorganization","BP","GO:0031532","GO_ACTIN_CYTOSKELETON_REORGANIZATION"
"actindependentatpaseactivity","actin-dependent ATPase activity","MF","GO:0030898","GO_ACTIN_DEPENDENT_ATPASE_ACTIVITY"
"actinfilament","actin filament","CC","GO:0005884","GO_ACTIN_FILAMENT"
"actinfilamentbasedmovement","actin filament-based movement","BP","GO:0030048","GO_ACTIN_FILAMENT_BASED_MOVEMENT"
"actinfilamentbasedprocess","actin filament-based process","BP","GO:0030029","GO_ACTIN_FILAMENT_BASED_PROCESS"
"actinfilamentbinding","actin filament binding","MF","GO:0051015","GO_ACTIN_FILAMENT_BINDING"
"actinfilamentbundle","actin filament bundle","CC","GO:0032432","GO_ACTIN_FILAMENT_BUNDLE"
"actinfilamentbundleorganization","actin filament bundle organization","BP","GO:0061572","GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION"
"actinfilamentorganization","actin filament organization","BP","GO:0007015","GO_ACTIN_FILAMENT_ORGANIZATION"
"actinfilamentpolymerization","actin filament polymerization","BP","GO:0030041","GO_ACTIN_FILAMENT_POLYMERIZATION"
"actininbinding","actinin binding","MF","GO:0042805","GO_ACTININ_BINDING"
"actinmediatedcellcontraction","actin-mediated cell contraction","BP","GO:0070252","GO_ACTIN_MEDIATED_CELL_CONTRACTION"
"actinmonomerbinding","actin monomer binding","MF","GO:0003785","GO_ACTIN_MONOMER_BINDING"
"actinmyosinfilamentsliding","actin-myosin filament sliding","BP","GO:0033275","GO_ACTIN_MYOSIN_FILAMENT_SLIDING"
"actinnucleation","actin nucleation","BP","GO:0045010","GO_ACTIN_NUCLEATION"
"actinpolymerizationordepolymerization","actin polymerization or depolymerization","BP","GO:0008154","GO_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION"
"actionpotential","action potential","BP","GO:0001508","GO_ACTION_POTENTIAL"
"activatingtranscriptionfactorbinding","activating transcription factor binding","MF","GO:0033613","GO_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING"
"activationofadenylatecyclaseactivity","activation of adenylate cyclase activity","BP","GO:0007190","GO_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY"
"activationofanaphasepromotingcomplexactivity","GO_ACTIVATION_OF_ANAPHASE_PROMOTING_COMPLEX_ACTIVITY",NA,NA,"GO_ACTIVATION_OF_ANAPHASE_PROMOTING_COMPLEX_ACTIVITY"
"activationofcysteinetypeendopeptidaseactivity","activation of cysteine-type endopeptidase activity","BP","GO:0097202","GO_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY"
"activationofcysteinetypeendopeptidaseactivityinvolvedinapoptoticsignalingpathway","activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway","BP","GO:0097296","GO_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY"
"activationofgtpaseactivity","activation of GTPase activity","BP","GO:0090630","GO_ACTIVATION_OF_GTPASE_ACTIVITY"
"activationofimmuneresponse","activation of immune response","BP","GO:0002253","GO_ACTIVATION_OF_IMMUNE_RESPONSE"
"activationofinnateimmuneresponse","activation of innate immune response","BP","GO:0002218","GO_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE"
"activationofjunkinaseactivity","activation of JUN kinase activity","BP","GO:0007257","GO_ACTIVATION_OF_JUN_KINASE_ACTIVITY"
"activationofmapkactivity","activation of MAPK activity","BP","GO:0000187","GO_ACTIVATION_OF_MAPK_ACTIVITY"
"activationofmapkkactivity","activation of MAPKK activity","BP","GO:0000186","GO_ACTIVATION_OF_MAPKK_ACTIVITY"
"activationofmapkkkactivity","activation of MAPKKK activity","BP","GO:0000185","GO_ACTIVATION_OF_MAPKKK_ACTIVITY"
"activationofnfkappabinducingkinaseactivity","activation of NF-kappaB-inducing kinase activity","BP","GO:0007250","GO_ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY"
"activationofphospholipasecactivity","activation of phospholipase C activity","BP","GO:0007202","GO_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY"
"activationofproteinkinaseaactivity","activation of protein kinase A activity","BP","GO:0034199","GO_ACTIVATION_OF_PROTEIN_KINASE_A_ACTIVITY"
"activationofproteinkinaseactivity","activation of protein kinase activity","BP","GO:0032147","GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY"
"activationofproteinkinasebactivity","activation of protein kinase B activity","BP","GO:0032148","GO_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY"
"activationoftransmembranereceptorproteintyrosinekinaseactivity","activation of transmembrane receptor protein tyrosine kinase activity","BP","GO:0007171","GO_ACTIVATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY"
"activeiontransmembranetransporteractivity","active ion transmembrane transporter activity","MF","GO:0022853","GO_ACTIVE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY"
